"Year","Month","Day","StartTime","StopTime","Transect_ID","Site","Patch_ID","Distance","Focal_ID","ARTH","PLANT","Number_Visits","Notes","Switching","Collected","X","Number_Visited","Patch","Meadow","Meadow_Year"
2022,7,13,"1_11","1_43","yst_obs","Aikawa","yst_1","1","","Apis_mellifera","ASFA",2,"photo","","",NA,NA,"Aikawa yst_1","Aikawa","Aikawa 2022"
2022,7,13,"1_11","1_43","obs_2","Aikawa","","4","","Apis_mellifera","ASFA",1,"photo","","",NA,NA,"Aikawa main","Aikawa","Aikawa 2022"
2022,7,14,"8_39","9_03","yst_obs","Quarry","Q1Y1","0","","Apis_mellifera","CESO",1,"","","",NA,NA,"Quarry Q1Y1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","yst_obs","Quarry","Q1Y1","0","","Apis_mellifera","CESO",2,"","","",NA,NA,"Quarry Q1Y1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","yst_obs","Quarry","Q1Y1","0","","Apis_mellifera","CESO",1,"","","",NA,NA,"Quarry Q1Y1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","obs_1","Quarry","Q1S1","2","","Apis_mellifera","HEEX",2,"","","",NA,NA,"Quarry QS1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","obs_2","Quarry","Q1S1","2","","Apis_mellifera","HEEX",1,"photo","","",NA,NA,"Quarry QS1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","obs_2","Quarry","Q1S1","4","","Apis_mellifera","HEEX",2,"2 m from satillite yst","","",NA,NA,"Quarry QS1","Quarry Close","Quarry Close 2022"
2022,7,14,"8_39","9_03","obs_4","Quarry","Q1S1","2","Q6","Apis_mellifera","HEEX",2,"","","",NA,NA,"Quarry QS1","Quarry Close","Quarry Close 2022"
2022,7,14,"9_20","9_25","obs_5","Quarry","Q3S1_upper","0","","Apis_mellifera","CESO",2,"","","",NA,NA,"Quarry Q3S3_upper","Quarry Close","Quarry Close 2022"
2022,7,14,"9_20","9_25","obs_5","Quarry","Q3S1_upper","1","","Apis_mellifera","HEEX",1,"","","",NA,NA,"Quarry Q3S3_upper","Quarry Close","Quarry Close 2022"
2022,7,14,"9_20","9_25","yst_obs","Quarry","Q3Y1_upper","0","","Apis_mellifera","CESO",1,"photo","","",NA,NA,"Quarry Q3S3_upper","Quarry Close","Quarry Close 2022"
