plant,Q,network,subset
VIVI,0.7527845984128677,Goatgrass_2023_spring,full
WYAN,1,Goatgrass_2023_spring,full
WYAU,0.662280701754386,Goatgrass_2023_spring,full
AMME,0.5,Goatgrass_2023_spring,non_serpentine
VIVI,0.9913793103448276,Goatgrass_2023_spring,non_serpentine
ACMO,0.5092592592592592,Goatgrass_2023_spring,serpentine
AGHE,0.8427248190406085,Goatgrass_2023_spring,serpentine
DICA,0.02564102564102564,Goatgrass_2023_spring,serpentine
GITR,0.23809523809523808,Goatgrass_2023_spring,serpentine
LACA,0.6540592740592741,Goatgrass_2023_spring,serpentine
LAMI,0.05075757575757575,Goatgrass_2023_spring,serpentine
LODA,0.5,Goatgrass_2023_spring,serpentine
LOHO,0.6731601731601732,Goatgrass_2023_spring,serpentine
MICA,0.125,Goatgrass_2023_spring,serpentine
PHIM,0.7083333333333334,Goatgrass_2023_spring,serpentine
PLER,1,Goatgrass_2023_spring,serpentine
RACA,0.07585470085470085,Goatgrass_2023_spring,serpentine
RILE,0.08333333333333333,Goatgrass_2023_spring,serpentine
SIBE,0.35220335220335214,Goatgrass_2023_spring,serpentine
Sidalcea_sp.,0.05128205128205128,Goatgrass_2023_spring,serpentine
TRGR,1,Goatgrass_2023_spring,serpentine
WYAN,1,Goatgrass_2023_spring,serpentine
WYAU,0.7261904761904763,Goatgrass_2023_spring,serpentine
ACMO,0.26153846153846155,Goatgrass_2024_spring,full
AGHE,0.6219038048119682,Goatgrass_2024_spring,full
DEHE,0.5,Goatgrass_2024_spring,full
DEVA,0.5,Goatgrass_2024_spring,full
DICA,0.020833333333333332,Goatgrass_2024_spring,full
LACA,0.8809614828497004,Goatgrass_2024_spring,full
LACH,1,Goatgrass_2024_spring,full
LUBI,0.0196078431372549,Goatgrass_2024_spring,full
RACA,0.09619115452448787,Goatgrass_2024_spring,full
SIBE,0.19444444444444445,Goatgrass_2024_spring,full
TRFU,0.6470639797912525,Goatgrass_2024_spring,full
TRLA,0.08961640211640211,Goatgrass_2024_spring,full
VIVI,0.8312288823263363,Goatgrass_2024_spring,full
WYAN,0.3333333333333333,Goatgrass_2024_spring,full
VIVI,1,Goatgrass_2024_spring,non_serpentine
ACMO,0.26153846153846155,Goatgrass_2024_spring,serpentine
AGHE,0.6219038048119682,Goatgrass_2024_spring,serpentine
DEHE,0.5,Goatgrass_2024_spring,serpentine
DEVA,0.5,Goatgrass_2024_spring,serpentine
DICA,0.020833333333333332,Goatgrass_2024_spring,serpentine
LACA,0.8809934526701898,Goatgrass_2024_spring,serpentine
LACH,1,Goatgrass_2024_spring,serpentine
LUBI,1,Goatgrass_2024_spring,serpentine
RACA,0.09619115452448787,Goatgrass_2024_spring,serpentine
SIBE,0.19444444444444445,Goatgrass_2024_spring,serpentine
TRFU,0.8194405594405596,Goatgrass_2024_spring,serpentine
TRLA,0.09226190476190475,Goatgrass_2024_spring,serpentine
WYAN,0.3333333333333333,Goatgrass_2024_spring,serpentine
LUSU,0.832010582010582,Hill_Base_2022_spring,full
TRLA,0.3333333333333333,Hill_Base_2022_spring,full
VIVI,0.3952380952380952,Hill_Base_2022_spring,full
VIVI,1,Hill_Base_2022_spring,non_serpentine
LUSU,0.9722222222222222,Hill_Base_2022_spring,serpentine
TRLA,0.5,Hill_Base_2022_spring,serpentine
AGHE,0.36560497583224855,Long_2022_spring,full
ALAM,0.3333333333333333,Long_2022_spring,full
ASBR,0.06666666666666667,Long_2022_spring,full
DICA,0.4222222222222222,Long_2022_spring,full
ERCA,0.3125,Long_2022_spring,full
EUSP,0.35058275058275057,Long_2022_spring,full
LACA,0.7810701719238304,Long_2022_spring,full
LACH,0.3596500721500721,Long_2022_spring,full
LODA,0.16666666666666666,Long_2022_spring,full
LUBI,0.4163419913419913,Long_2022_spring,full
LUNA,1,Long_2022_spring,full
PLER,0.08831908831908832,Long_2022_spring,full
RACA,0.10462962962962963,Long_2022_spring,full
Sidalcea_sp.,1,Long_2022_spring,full
TRBI,0.125,Long_2022_spring,full
TRFU,0.27037067808000387,Long_2022_spring,full
TRLA,0.15824915824915822,Long_2022_spring,full
URLI,0.038461538461538464,Long_2022_spring,full
